facility_id,facility_type,facility_name,facility_lat,facility_lon,A1,A2,A3,A4,facility_phone,facility_email,facility_url,address,postal_code,locality,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name,facility_stops
10239,school,"Escola Básica Professor Noronha Feio, Queijas, Oeiras",38.718872,-9.257437,1,,,,214241590,,,Rua António Lopes Ribeiro,2790-457 QUEIJAS,Queijas,,,1110,Oeiras,11,Lisboa,PT170,AML,"120485,120486,120489,120490,120491,120492,120493,120494,120495,120501,120502,120503,120504,120515,120545,120546"
10240,school,Escola Básica Professora Maria Costa,38.808913,-9.204947,,1,,,,,,"R. da Escola Primaria, Ponte da Bica",,,,,1116,Odivelas,11,Lisboa,PT170,AML,"110181,110182,110183,110193,110643,110644,110725,110726"
10241,school,"Escola Básica Rainha D. Leonor de Lencastre, São Marcos, Sintra",38.750664,-9.298751,1,,,,214263146,,,"Rua Cidade Rio de Janeiro, nº 20 e 20-A,  Urbanização de S. Marcos",2735-659 AGUALVA-CACÉM,S. Marcos,,,1111,Sintra,11,Lisboa,PT170,AML,"170723,170725,170727,170775,170776,170777,170778,170779,170780,172475"
10242,school,Escola Básica Rainha Santa,38.784340,-9.188474,,1,,,,,,R. Antero de Quental,,,,,1116,Odivelas,11,Lisboa,PT170,AML,"110081,110083,110103,110104,110105,110133,110134,110299,110399,110400,110843,110853,110854,110855,110856,111004"
10243,school,"Escola Básica Roque Gameiro, Reboleira, Amadora",38.754036,-9.232109,1,,,,214998580,,,Avenida da Aviação Portuguesa,2720-059 AMADORA,Amadora,,,1115,Amadora,11,Lisboa,PT170,AML,"030458,030463,030464,030465,030467,030479,030481,030483,030491,030535,030537,030538,030539,030541,030543,030837,030839,030840,030841,030865,030866,030867,030868"
10244,school,"Escola Básica Ruy Belo, Queluz, Sintra",38.761050,-9.264310,1,,,,214389640,,,Rua D. Diniz,2745-262 QUELUZ,Queluz Ocidental,,,1111,Sintra,11,Lisboa,PT170,AML,"170875,170876,170877,170879,170881,170883,170885,170889,171085,172183,172187,172511"
10245,school,"Escola Básica Soeiro Pereira Gomes, Alhandra, Vila Franca de Xira",38.932453,-9.018011,,1,,,219518210,,,Estrada da Arruda,2600-774 SÃO JOÃO DOS MONTES,Quinta da Cruz de Pau,,,1114,Vila Franca de Xira,11,Lisboa,PT170,AML,"180005,180006"
10246,school,"Escola Básica Sophia de Mello Breyner Andresen, Brandoa, Amadora",38.765330,-9.215723,1,,,,214744151,,,R. Luís Vaz de Camões,2650-197 AMADORA,Brandoa,,,1115,Amadora,11,Lisboa,PT170,AML,"030355,030356,030357,030373,030377,030387,030419,030695,030701,030737,030852"
10247,school,"Escola Básica Sophia de Mello Breyner, Portela, Oeiras",38.720173,-9.223929,1,,,,214241610,,,Rua Pedro Homem de Melo,2794-053 CARNAXIDE,Outurela-Portela,,,1110,Oeiras,11,Lisboa,PT170,AML,"120013,120014,120015,120016,120017,120119,120443"
10248,school,"Escola Básica Vasco da Gama, Lisboa",38.778122,-9.093521,1,,,,218930300,,,R. Ilha dos Amores - Parque EXPO,1990-112 LISBOA,Parque EXPO,,,1106,Lisboa,11,Lisboa,PT170,AML,"060199,060200,060201,060202"
10249,school,"Escola Básica Vasco Santana, Ramada, Odivelas",38.803510,-9.182820,,1,,,219347670,,,R. 25 de Agosto - Bons Dias,2675-000 ODIVELAS,Ramada,,,1116,Odivelas,11,Lisboa,PT170,AML,"110321,110323,110324,110325,110326,110359,110360,110361,110362,110397,110471,110472,110497,110593,110645,110646,111006,111007"
10250,school,Escola Básica Veiga Ferreira,38.796178,-9.218547,,1,,,,,,"R. Luis Manuel Ribeiro, Casal da Silveira",,,,,1116,Odivelas,11,Lisboa,PT170,AML,"110153,110154,110155,110156,110267,110268,110763,110764,110773,110774,110775,110781,110825,110826,110827,110828,110851"
10251,school,"Escola Básica Vieira da Silva, Carnaxide, Oeiras",38.729480,-9.244971,1,,,,214241030,,,R. Aquilino Ribeiro,2790-461 CARNAXIDE,Carnaxide,,,1110,Oeiras,11,Lisboa,PT170,AML,"120043,120044,120045,120047,120097,120099,120277,120361,120423,120424,120425,120475,120476,120477,120481"
10252,school,"Escola Básica Visconde de Juromenha, Mem Martins, Sintra",38.797867,-9.326596,1,,,,219169430,,,Rua Quinta da Marquesa,2729-012 MEM MARTINS,Mem Martins,,,1111,Sintra,11,Lisboa,PT170,AML,"170253,170254,170255,170256,170257,170258,170259,170260,170261,170515,170516,170517,170518,170521"
10253,school,Escola de Hotelaria e Turismo de Setúbal,38.522789,-8.888477,,,,1,265009900,,,Parque do Bonfim,2900-703 SETÚBAL,Setúbal,,,1512,Setúbal,15,Setúbal,PT170,AML,"160101,160103,160127,160129,160131,160133,160135,160139,160163,160349,160745,160746,160883"
10254,school,Escola de Hotelaria e Turismo do Estoril,38.717340,-9.391922,1,,,,211149500,,,Av. Condes de Barcelona,2769-510 ESTORIL,Estoril,,,1105,Cascais,11,Lisboa,PT170,AML,"050415,050417"
