agency_id,route_id,fare_id
CM,1635_0,BORDO-2
CM,1635_1,BORDO-2
CM,1636_0,BORDO-2
CM,1636_1,BORDO-2
CM,1637_0,BORDO-2
CM,1638_0,BORDO-2
CM,1638_1,BORDO-2
CM,1638_2,BORDO-2
CM,1638_3,BORDO-2
CM,1703_0,BORDO-2
CM,1704_0,BORDO-2
CM,1704_1,BORDO-2
CM,1704_3,BORDO-2
CM,1706_0,BORDO-2
CM,1706_1,BORDO-2
CM,1706_2,BORDO-2
CM,1707_0,BORDO-2
CM,1707_1,BORDO-2
CM,1708_0,BORDO-2
CM,1708_1,BORDO-2
CM,1708_2,BORDO-2
CM,1709_0,BORDO-2
CM,1710_0,BORDO-2
CM,1710_1,BORDO-2
CM,1710_2,BORDO-2
CM,1710_3,BORDO-2
CM,1711_0,BORDO-2
CM,1712_0,BORDO-2
CM,1713_1,BORDO-2
CM,1713_0,BORDO-2
CM,1714_0,BORDO-2
CM,1715_0,BORDO-2
CM,1716_0,BORDO-2
CM,1716_1,BORDO-2
CM,1717_0,BORDO-2
CM,1717_1,BORDO-2
CM,1717_2,BORDO-2
CM,1718_0,BORDO-2
CM,1719_0,BORDO-2
CM,1720_0,BORDO-2
CM,1720_1,BORDO-2
CM,1721_0,BORDO-2
CM,1721_1,BORDO-2
CM,1722_0,BORDO-2
CM,1723_0,BORDO-2
CM,1723_1,BORDO-2
CM,1724_0,BORDO-2
CM,1724_1,BORDO-2
CM,1724_2,BORDO-2
CM,1724_3,BORDO-2
CM,1725_0,BORDO-2
CM,1726_0,BORDO-2
CM,1726_1,BORDO-2
CM,1728_0,BORDO-2
CM,1728_1,BORDO-2
CM,1729_0,BORDO-2
CM,1729_1,BORDO-2
CM,1730_0,BORDO-2
CM,1730_1,BORDO-2
CM,1730_2,BORDO-2
CM,1730_3,BORDO-2
CM,1731_0,BORDO-2
CM,1733_0,BORDO-2
CM,1733_1,BORDO-2
CM,1733_2,BORDO-2
CM,1999_0,BORDO-1
CM,2002_0,BORDO-2
CM,2003_0,BORDO-2
CM,2003_1,BORDO-2
CM,2004_0,BORDO-1
CM,2006_0,BORDO-1
CM,2008_0,BORDO-1
CM,2011_0,BORDO-2
CM,2011_1,BORDO-2
CM,2013_0,BORDO-2
CM,2014_0,BORDO-2
CM,2015_0,BORDO-2
CM,2016_0,BORDO-1
CM,2016_1,BORDO-1
CM,2017_0,BORDO-2
CM,2020_0,BORDO-1
CM,2020_1,BORDO-1
CM,2021_0,BORDO-2
CM,2021_1,BORDO-2
CM,2021_2,BORDO-2
CM,2021_3,BORDO-2
CM,2022_0,BORDO-2
CM,2023_0,BORDO-2
CM,2023_1,BORDO-2
CM,2025_0,BORDO-2
CM,2025_1,BORDO-2
CM,2026_0,BORDO-1
CM,2027_0,BORDO-2
CM,2027_1,BORDO-2
CM,2028_0,BORDO-2
CM,2029_0,BORDO-1
CM,2030_0,BORDO-1
CM,2031_0,BORDO-1
CM,2031_1,BORDO-1
CM,2032_0,BORDO-2
CM,2033_0,BORDO-1
CM,2034_0,BORDO-1
CM,2035_0,BORDO-2
CM,2036_0,BORDO-1
CM,2036_1,BORDO-1
CM,2037_0,BORDO-2
CM,2037_1,BORDO-2
CM,2037_2,BORDO-2
CM,2037_3,BORDO-2
CM,2101_0,BORDO-2
CM,2102_0,BORDO-2
CM,2103_0,BORDO-2
CM,2103_1,BORDO-2
CM,2104_0,BORDO-2
CM,2105_0,BORDO-2
CM,2106_0,BORDO-2
CM,2106_1,BORDO-2
CM,2107_0,BORDO-2
CM,2107_1,BORDO-2
CM,2108_0,BORDO-2
CM,2109_0,BORDO-2
