stop_id,stop_name,stop_lat,stop_lon,A1,A2,A3,A4,stop_name_new,stop_short_name,tts_stop_name,location_type,platform_code,parent_station,stop_code,stop_url,public_visible,jurisdiction,address,postal_code,locality,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name,last_stop_update,has_pole,pole_material,has_shelter,shelter_code,shelter_maintainer,has_mupi,has_bench,has_trash_bin,has_lighting,has_electricity,docking_bay_type,last_infrastructure_maintenance,last_infrastructure_check,has_stop_sign,stop_sign_maintainer,has_pole_frame,shelter_frame_area_cm,has_pip_real_time,pip_real_time_code,has_h2oa_signage,has_schedules,has_network_map,last_schedules_maintenance,last_schedules_check,last_stop_sign_maintenance,last_stop_sign_check,pavement_type,has_sidewalk,sidewalk_type,has_tactile_schedules,stop_access_type,has_crosswalk,has_tactile_pavement,has_abusive_parking,has_audio_stop_info,wheelchair_boarding,last_accessibility_check,near_health_clinic,near_hospital,near_university,near_school,near_police_station,near_fire_station,near_shopping,near_historic_building,near_transit_office,light_rail,subway,train,boat,airport,bike_sharing,bike_parking,car_parking
010014,ALCOCHETE (R COOPERAÇÃO 27),38.748700,-8.965973,0,0,0,1,Rua da Cooperação L27,,Alcochete ( Rua Cooperação 27 ),0,,,010014,,1,,,,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
010015,ALCOCHETE (R LIBERDADE) ESCOLA VALBOM,38.748758,-8.967106,0,0,0,1,Escola Básica n.º 2 de Alcochete (Valbom),,Alcochete ( Rua Liberdade ) Escola Valbom,0,,,010015,,1,,,,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
010016,ALCOCHETE (R LIBERDADE) ESCOLA VALBOM,38.749364,-8.966956,0,0,0,1,Rua da Liberdade Fte 2,,Alcochete ( Rua Liberdade ) Escola Valbom,0,,,010016,,1,,,,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
010017,ALCOCHETE (AV D MANUEL I 25),38.750122,-8.968040,0,0,0,1,Avenida D. Manuel I (Fte Hotel),,Alcochete ( Avenida Dom Manuel Primeiro 25 ),0,,,010017,,1,,,,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
010018,ALCOCHETE (AV D MANUEL I 25),38.749981,-8.967987,0,0,0,1,Avenida D. Manuel I Fte L23,,Alcochete ( Avenida Dom Manuel Primeiro 25 ),0,,,010018,,1,,,,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
010019,ALCOCH (AV INF D JOÃO) PRAIA MOINHOS,38.748365,-8.970791,0,0,0,1,Avenida Infante D. João (Paia dos Moinhos),,Álcochete ( Avenida Infante Dom João ) Praia Moinhos,0,,,010019,,1,,,,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
010021,PASSEIO CARAVELAS (FÓRUM ALCOCHETE),38.746655,-8.971506,0,0,0,1,Passeio das Caravelas (Pq est Forúm Cultural Alcochete),,Passeio Caravelas ( Fórum Alcochete ),0,,,010021,,1,,,,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010023,ALCOCHETE (R 25 DE ABRIL 8),38.747993,-8.969371,0,0,0,1,Rua 25 de Abril 6,,Alcochete ( Rua 25 De Abril Número 8 ),0,,,010023,,1,,,,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
010025,ALCOCHETE (R Mª TERESA NORONHA),38.752660,-8.961294,0,0,0,1,Rua Dona Maria Teresa de Noronha 196,,Alcochete ( Rua Maria Teresa Noronha ),0,,,010025,,1,,,,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
010027,ALCOCHETE (R CARLOS M ROD FRANCISCO 408),38.753259,-8.958130,0,0,0,1,Rua Carlos Manuel Rodrigues Francisco 409,,Alcochete ( Rua Carlos M Rodrigo Francisco 408 ),0,,,010027,,1,,,,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
010028,ALCOCHETE (R CARLOS M ROD FRANCISCO 408),38.753307,-8.958037,0,0,0,1,Rua Carlos Manuel Rodrigues Francisco Fte 410,,Alcochete ( Rua Carlos M Rodrigo Francisco 408 ),0,,,010028,,1,,,,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
010029,ALCOCHETE (R LÁPARO) SUPERMERCADO,38.751255,-8.956741,0,0,0,1,Rua do Láparo (Supermercado),,Alcochete ( Rua Láparo ) Supermercado,0,,,010029,,1,,,,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010030,ALCOCHETE (R LÁPARO) SUPERMERCADO,38.751242,-8.956625,0,0,0,1,Rua do Láparo (Fte Supermercado),,Alcochete ( Rua Láparo ) Supermercado,0,,,010030,,1,,,,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010031,ALCOCHETE (R LÁPARO) ESTALEIRO MUN,38.749842,-8.953465,0,0,0,1,Rua do Láparo 360,,Alcochete ( Rua Láparo ) Estaleiro Municipal,0,,,010031,,1,,,,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010032,ALCOCHETE (R LÁPARO) ESTALEIRO MUN,38.749911,-8.953472,0,0,0,1,Rua do Láparo Fte 360,,Alcochete ( Rua Láparo ) Estaleiro Municipal,0,,,010032,,1,,,,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010033,ALCOCHETE (R LÁPARO X R BRACIEIRA),38.748189,-8.951511,0,0,0,1,Rua do Láparo (X) Rua da Bracieira,,Alcochete ( Cruzamento Entre ( Rua Láparo ) E Rua Bracieira ),0,,,010033,,1,,,,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010034,ALCOCHETE (R LÁPARO X R BRACIEIRA),38.748278,-8.951503,0,0,0,1,Rua do Láparo (X) Rua da Bracieira (sentido norte),,Alcochete ( Cruzamento Entre ( Rua Láparo ) E Rua Bracieira ),0,,,010034,,1,,,,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010035,ALCOCHETE (LAGOA LÁPARO),38.746343,-8.948745,0,0,0,1,Rua do Lápara 944,,Alcochete ( Lagoa Láparo ),0,,,010035,,1,,,,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010036,ALCOCHETE (LAGOA LÁPARO),38.745936,-8.948375,0,0,0,1,Rua do Lápara Fte 944,,Alcochete ( Lagoa Láparo ),0,,,010036,,1,,,,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010037,PQ INDUSTRIAL BATEL (R ALFAZEMAS),38.745522,-8.946050,0,0,0,1,Rua das Alfazemas (X) Rua dos Jasmins,,Parque Industrial Batel ( Rua Alfazemas ),0,,,010037,,1,,,,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010038,PQ INDUSTRIAL BATEL (R ALFAZEMAS),38.745434,-8.945954,0,0,0,1,Rua das Alfazemas (X) Rua dos Alecrins,,Parque Industrial Batel ( Rua Alfazemas ),0,,,010038,,1,,,,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010039,R DOS DAMASCOS,38.748707,-8.945941,0,0,0,1,Rua dos Damascos (Quinta dos Sobreiros),,Rua Dos Damascos,0,,,010039,,1,,,,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010040,R DOS DAMASCOS,38.748758,-8.945841,0,0,0,1,Rua dos Damascos (Quinta dos Sobreiros),,Rua Dos Damascos,0,,,010040,,1,,,,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010041,QUEBRADAS (SUPERMERCADO),38.751652,-8.944580,0,0,0,1,Acesso à Rua dos Damascos (supermercado),,Quebradas ( Supermercado ),0,,,010041,,1,,,,Quebradas,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010043,ALCOCHETE (AV BARRIS) CENTRO SAÚDE,38.748435,-8.964307,0,0,0,1,Avenida dos Barris (Centro Saúde),,Alcochete ( Avenida Barris ) Centro Saúde,0,,,010043,,1,,,,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
010045,AV DOS BARRIS - PQ DESP DO VALBOM (ROT),38.745904,-8.966790,0,0,0,1,Avenida dos Barris Fte 627,,Avenida Dos Barris - Parque Desportivo Do Valbom ( Rotunda ),0,,,010045,,1,,,,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010047,R VALE FIGUEIRA (CASAS NOVAS),38.740462,-8.960715,0,0,0,1,Rua Vale Figueira 788,,Rua Vale Figueira ( Casas Novas ),0,,,010047,,1,,,,Alcochete,,,1502,Alcochete,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
