store_id,store_type,store_name,store_lat,store_lon,A1,A2,A3,A4,store_phone,store_email,store_url,address,postal_code,locality,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name,hours_monday,hours_tuesday,hours_wednesday,hours_thursday,hours_friday,hours_saturday,hours_sunday,store_stops
8400000000000001,encm,Espaço navegante® Carris Metropolitana Queluz,,,0,0,0,0,210410400,,,Avenida José Elias Garcia 71,2745-155,Queluz,,,1512,Setúbal,15,Setúbal,PT170,AML,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,
8400000000000002,encm,Espaço navegante® Carris Metropolitana Amadora,,,0,0,0,0,210410400,,,Avenida Santos Mattos 8A,2700-336,Amadora,,,1512,Setúbal,15,Setúbal,PT170,AML,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,
8400000000000003,encm,Espaço navegante® Carris Metropolitana Almada,,,0,0,0,0,210410400,,,"Largo Alfredo Dinis, Cacilhas",2800-252,Almada,,,1512,Setúbal,15,Setúbal,PT170,AML,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,
8400000000000004,encm,Espaço navegante® Carris Metropolitana Setúbal,,,0,0,0,0,210410400,,,Praça do Brasil,2900-319,Setúbal,,,1512,Setúbal,15,Setúbal,PT170,AML,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,
8400000000000005,encm,Espaço navegante® Carris Metropolitana Montijo,,,0,0,0,0,210410400,,,Praça Gomes Freire de Andrade 18,2870-237,Montijo,,,1512,Setúbal,15,Setúbal,PT170,AML,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,
8400000000000006,encm,Espaço navegante® Carris Metropolitana Loures,,,0,0,0,0,210410400,,,Av. Descobertas 90,2670-457,Loures,,,1512,Setúbal,15,Setúbal,PT170,AML,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,,,
8400000000000007,encm,Espaço navegante® Carris Metropolitana Amadora,,,0,0,0,0,210410400,,,Rua Elias Garcia 182B,2700-315,Amadora,,,1512,Setúbal,15,Setúbal,PT170,AML,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,
8400000000000008,encm,Espaço navegante® Carris Metropolitana Odivelas,,,0,0,0,0,210410400,,,Avenida Dom Dinis 68A,2675-328,Odivelas,,,1512,Setúbal,15,Setúbal,PT170,AML,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,
8400000000000009,encm,Espaço navegante® Carris Metropolitana Oeiras,,,0,0,0,0,210410400,,,Rua Ernesto Veiga de Oliveira 14A,2780-052,Oeiras,,,1512,Setúbal,15,Setúbal,PT170,AML,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,
8400000000000010,encm,Espaço navegante® Carris Metropolitana Corroios,,,0,0,0,0,210410400,,,Avenida 25 de Abril 9A R/C Esq,2855-099,Corroios,,,1512,Setúbal,15,Setúbal,PT170,AML,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,
