route_id,fare_id,fare_color,fare_text_color
1525_0,LONGA,ED1944,FFFFFF
1525_1,LONGA,ED1944,FFFFFF
1525_2,LONGA,ED1944,FFFFFF
1525_3,LONGA,ED1944,FFFFFF
1525_4,LONGA,ED1944,FFFFFF
1526_0,LONGA,ED1944,FFFFFF
1527_0,LONGA,ED1944,FFFFFF
1527_1,LONGA,ED1944,FFFFFF
1528_0,LONGA,ED1944,FFFFFF
1529_0,LONGA,ED1944,FFFFFF
1529_1,LONGA,ED1944,FFFFFF
1530_0,LONGA,ED1944,FFFFFF
1530_1,LONGA,ED1944,FFFFFF
1531_0,LONGA,ED1944,FFFFFF
1601_0,LONGA,ED1944,FFFFFF
1601_1,LONGA,ED1944,FFFFFF
1601_2,LONGA,ED1944,FFFFFF
1601_3,LONGA,ED1944,FFFFFF
1601_4,LONGA,ED1944,FFFFFF
1602_0,LONGA,ED1944,FFFFFF
1602_1,LONGA,ED1944,FFFFFF
1603_0,LONGA,ED1944,FFFFFF
1604_0,LONGA,ED1944,FFFFFF
1604_1,LONGA,ED1944,FFFFFF
1604_2,LONGA,ED1944,FFFFFF
1604_3,LONGA,ED1944,FFFFFF
1605_0,LONGA,ED1944,FFFFFF
1606_0,LONGA,ED1944,FFFFFF
1608_0,LONGA,ED1944,FFFFFF
1608_1,LONGA,ED1944,FFFFFF
1609_0,LONGA,ED1944,FFFFFF
1610_0,LONGA,ED1944,FFFFFF
1610_1,LONGA,ED1944,FFFFFF
1611_0,LONGA,ED1944,FFFFFF
1612_0,LONGA,ED1944,FFFFFF
1613_0,LONGA,ED1944,FFFFFF
1613_1,LONGA,ED1944,FFFFFF
1614_0,LONGA,ED1944,FFFFFF
1614_1,LONGA,ED1944,FFFFFF
1614_2,LONGA,ED1944,FFFFFF
1615_0,LONGA,ED1944,FFFFFF
1615_1,LONGA,ED1944,FFFFFF
1615_2,LONGA,ED1944,FFFFFF
1616_0,LONGA,ED1944,FFFFFF
1616_1,LONGA,ED1944,FFFFFF
1616_2,LONGA,ED1944,FFFFFF
1616_3,LONGA,ED1944,FFFFFF
1617_0,LONGA,ED1944,FFFFFF
1617_1,LONGA,ED1944,FFFFFF
1622_0,LONGA,ED1944,FFFFFF
1623_0,LONGA,ED1944,FFFFFF
1623_1,LONGA,ED1944,FFFFFF
1624_0,LONGA,ED1944,FFFFFF
