A1,A2,A3,A4,stop_id,stop_name,stop_lat,stop_lon,verification_status,stop_remarks,stop_code,old_stop_id,stop_id_stepp,public_visible,location_type,zone_shift,stop_url,parent_station,wheelchair_boarding,entrance_restriction,exit_restriction,slot,signalling,shelter,bench,network_map,schedule,real_time_information,tariff,preservation_state,equipment,observations,region,municipality,municipality_fare_1,municipality_fare_2,zone_id,stop_timezone,level_id,platform_code
0,0,0,1,010001,ALCOCHETE (R C M R FRANC 229)ESC MT NOVO,38.753900,-8.959360,,,010001,,129130,1,0,,,,,,,,,,,,,,,,,,PT170,1502,,,,,,
0,0,0,1,010002,ALCOCHETE (R C M R FRANC 229)ESC MT NOVO,38.753900,-8.959300,,,010002,,129130,1,0,,,,,,,,,,,,,,,,,,PT170,1502,,,,,,
0,0,0,1,010005,ALCOCHETE (R CIPRIÃO FIGUEIREDO),38.754200,-8.961870,,,010005,,129131,1,0,,,,,,,,,,,,,,,,,,PT170,1502,,,,,,
0,0,0,1,010007,ALCOCHETE (R LEITE CUNHA) BIBLIOTECA,38.753600,-8.963290,,,010007,,129330,1,0,,,,,,,,,,,,,,,,,,PT170,1502,,,,,,
0,0,0,1,010008,ALCOCHETE (R LEITE CUNHA) BIBLIOTECA,38.753500,-8.963230,,,010008,,129330,1,0,,,,,,,,,,,,,,,,,,PT170,1502,,,,,,
0,0,0,1,010009,ALCOCHETE (AV RESTAURAÇÃO) EB MANUEL I,38.750800,-8.962790,,,010009,,32972,1,0,,,,,,,,,,,,,,,,,,PT170,1502,,,,,,
0,0,0,1,010010,ALCOCHETE (AV RESTAURAÇÃO) EB MANUEL I,38.750900,-8.962730,,,010010,,32972,1,0,,,,,,,,,,,,,,,,,,PT170,1502,,,,,,
0,0,0,1,010011,ALCOCHETE (R JOSÉ GRILO EVANGELISTA),38.748800,-8.963160,,,010011,,129141,1,0,,,,,,,,,,,,,,,,,,PT170,1502,,,,,,
0,0,0,1,010012,ALCOCHETE (R JOSÉ GRILO EVANGELISTA),38.748900,-8.963100,,,010012,,129141,1,0,,,,,,,,,,,,,,,,,,PT170,1502,,,,,,
0,0,0,1,010013,ALCOCHETE (R COOPERAÇÃO 27),38.748700,-8.966110,,,010013,,129339,1,0,,,,,,,,,,,,,,,,,,PT170,1502,,,,,,
