fare_id,route_id
LONGA,2127_0
LONGA,2128_0
LONGA,2129_0
LONGA,2130_0
LONGA,2130_1
LONGA,2131_0
LONGA,2131_1
LONGA,2132_0
LONGA,2132_1
LONGA,2133_0
LONGA,2133_1
LONGA,2133_2
LONGA,2133_3
LONGA,2133_4
LONGA,2134_0
LONGA,2135_0
LONGA,2136_0
LONGA,2137_0
LONGA,2137_1
LONGA,2138_0
LONGA,2139_0
LONGA,2140_0
LONGA,2141_0
LONGA,2143_0
LONGA,2144_0
LONGA,2144_1
LONGA,2144_2
LONGA,2144_3
LONGA,2145_0
LONGA,2145_1
LONGA,2146_0
LONGA,2147_0
LONGA,2147_1
LONGA,2148_0
LONGA,2148_1
LONGA,2149_0
LONGA,2150_0
LONGA,2150_1
LONGA,2151_0
LONGA,2201_0
LONGA,2202_0
LONGA,2203_0
LONGA,2203_1
LONGA,2205_0
LONGA,2206_0
LONGA,2207_0
LONGA,2208_0
LONGA,2209_0
LONGA,2210_0
LONGA,2211_0
LONGA,2213_0
LONGA,2213_1
LONGA,2213_2
LONGA,2215_0
LONGA,2216_0
LONGA,2217_0
LONGA,2217_1
LONGA,2217_2
LONGA,2218_0
LONGA,2219_0
LONGA,2219_1
LONGA,2221_0
LONGA,2221_1
LONGA,2223_0
LONGA,2223_1
LONGA,2224_0
LONGA,2225_0
LONGA,2225_1
LONGA,2225_2
LONGA,2225_3
LONGA,2302_0
LONGA,2303_0
LONGA,2304_0
LONGA,2306_0
LONGA,2306_1
LONGA,2306_2
LONGA,2307_0
LONGA,2309_0
LONGA,2309_1
LONGA,2309_2
LONGA,2309_3
LONGA,2309_4
LONGA,2309_5
LONGA,2309_6
LONGA,2309_7
LONGA,2309_8
LONGA,2309_9
LONGA,2310_0
LONGA,2310_1
LONGA,2310_2
LONGA,2310_3
LONGA,2311_0
LONGA,2312_0
LONGA,2315_0
LONGA,2316_0
LONGA,2317_0
LONGA,2317_1
LONGA,2317_2
LONGA,2320_0
LONGA,2321_0
LONGA,2324_0
LONGA,2324_1
LONGA,2325_0
LONGA,2327_0
LONGA,2327_1
LONGA,2328_0
LONGA,2328_1
LONGA,2329_0
LONGA,2501_0
LONGA,2502_0
LONGA,2503_0
LONGA,2503_1
LONGA,2504_0
LONGA,2505_0
LONGA,2506_0
LONGA,2510_0
LONGA,2510_1
LONGA,2510_2
LONGA,2510_4
LONGA,2510_5
LONGA,2510_6
LONGA,2511_0
LONGA,2512_0
LONGA,2513_0
LONGA,2513_1
LONGA,2513_2
LONGA,2515_0
LONGA,2515_1
LONGA,2516_0
LONGA,2517_0
LONGA,2517_1
LONGA,2518_0
LONGA,2519_0
LONGA,2520_0
LONGA,2520_1
LONGA,2521_0
LONGA,2522_0
LONGA,2523_0
LONGA,2523_1
LONGA,2524_0
LONGA,2524_1
LONGA,2525_0
LONGA,2530_0
LONGA,2530_1
LONGA,2532_0
LONGA,2532_1
LONGA,2532_2
LONGA,2532_3
LONGA,2533_0
LONGA,2533_1
LONGA,2533_2
LONGA,2533_3
LONGA,2534_0
LONGA,2535_0
LONGA,2536_0
LONGA,2537_0
LONGA,2537_1
LONGA,2538_0
LONGA,2538_1
LONGA,2539_0
LONGA,2540_0
LONGA,2601_0
LONGA,2601_1
LONGA,2605_0
LONGA,2605_1
LONGA,2605_2
LONGA,2605_3
LONGA,2610_0
LONGA,2611_0
LONGA,2620_0
